Sc1    -6.2861659300  Fm-3m
Sc6    -6.2051729083  P6_122
Sc4    -6.2279785100  Im-3m
Sc2    -6.3351993600  P6_3/mmc
Al1    -3.7481031800  Fm-3m
Al4    -3.7279540475  P6_3/mmc
C12    -9.2218985058  P6_3/mmc
C16    -9.2254735813  Cmme
C60    -8.8367136933  Fm3
C8    -9.2192988488  P6/mmm
C2    -9.2224212650  P6/mmm
C4    -9.2242219825  P6_3/mmc
C140    -8.8768816429  Cmcm
C120    -8.8386124275  Pnnm
C10    -9.0802877870  R-3m
C14    -9.0510676836  R-3m
C1    -6.4698268400  Pm-3m
C71    -9.0959952897  Cm
C20    -8.4629397365  Pm-3m
C29    -7.3062197676  I-43m
C240    -8.8436294070  Pa-3
C80    -7.8151827170  P1
Sc3Al1    -5.9539934637  P6_3/mmc
Sc1Al2    -5.0937146617  Fd-3m
Sc1Al3    -4.8455012700  Pm-3m
Sc1Al1    -5.4888175350  Pm-3m
Sc2Al1    -5.8212225783  P6_3/mmc
Sc4Al1    -5.3005525690  Fd-3m
Sc1C1    -7.9186362200  Fm-3m
Sc2C3    -8.3356180555  I-43d
Sc15C19    -8.3628756301  P4/mnc
Sc2C1    -7.7196672633  P-3m1
Sc3C4    -8.3909900880  P4/mnc
Sc4C3    -8.0577325171  I-43d
Al4C3    -6.1869039829  R-3m
Al1C1    -5.9477030820  P2
Al1C3    -5.1477037000  Pm-3m
Sc2Al1C1    -6.8468948800  P6_3/mmc
Sc1Al3C3    -6.8116027557  P6_3/mmc
Sc3Al1C1    -6.9882065920  Pm-3m
