mp-1008681_Sc,  -5.61488046  0.7203188999999997  Pm-3m
mp-601273_Sc,  -6.205172908333334  0.13002645166666582  P6_122
mp-10641_Sc,  -6.22797851  0.10722085000000003  Im-3m
mp-567308_Sc,  -6.1299204275  0.20527893249999973  I4/mcm
mp-1064244_Sc,  -6.2181474575  0.11705190250000008  P4/nmm
mp-67_Sc,  -6.33519936  0.0  P6_3/mmc
mp-36_Sc,  -6.28616593  0.04903342999999971  Fm-3m
mp-998860_Al,  -3.65313078  0.09497240000000007  Im-3m
mp-1183144_Al,  -3.7279540475  0.020149132500000277  P6_3/mmc
mp-134_Al,  -3.74810318  0.0  Fm-3m
mp-1239196_Al,  -3.44288847  0.30521471  I4/mmm
mp-611448_C,  -9.083447305  0.1420262762500002  P6_3/mmc
mp-568286_C,  -9.22547358125  0.0  Cmme
mp-630227_C,  -8.831984647666667  0.3934889335833323  Immm
mp-680372_C,  -8.818388421833333  0.40708515941666595  R-3m
mp-624889_C,  -7.97045222875  1.2550213525  Cmme
mp-990448_C,  -9.222421265  0.003052316250000686  P6/mmm
mp-997182_C,  -9.22188809  0.0035854912499999614  P6_3/mmc
mp-667273_C,  -8.836713693333333  0.388759887916666  Fm3
mp-606949_C,  -9.221898505833334  0.003575075416666351  P6_3/mmc
mp-616440_C,  -9.084909495  0.1405640862500004  P6_3/mmc
mp-683919_C,  -8.876881642857143  0.3485919383928571  Cmcm
mp-632329_C,  -9.213934745  0.011538836250000628  C2/m
mp-66_C,  -9.090312345  0.13516123625000098  Fd-3m
mp-990424_C,  -9.22064643  0.004827151249999773  P-3m1
mp-1182029_C,  -8.21704490875  1.008428672500001  P2/m
mp-937760_C,  -9.22180399  0.003669591250000437  Fmmm
mp-47_C,  -9.064994965  0.16047861624999982  P6_3/mmc
mp-569304_C,  -9.195533285  0.029940296250000387  R-3m
mp-48_C,  -9.2242219825  0.001251598750000582  P6_3/mmc
mp-569416_C,  -9.1966727375  0.028800843750000027  R-3m
mp-568028_C,  -8.69660660325  0.5288669779999983  Pnnm
mp-569517_C,  -9.080287787  0.14518579424999983  R-3m
mp-568363_C,  -9.222430865  0.00304271625000041  Cmme
mp-569567_C,  -9.051067683571429  0.17440589767857212  R-3m
mp-568410_C,  -8.71909572875  0.5063778525  Cmmm
mp-579909_C,  -8.2814027975  0.94407078375  Cmmm
mp-568806_C,  -9.21929884875  0.006174732499999891  P6/mmm
mp-1040425_C,  -9.221252335  0.004221246249999311  P6/mmm
mp-1097832_C,  -6.615171295  2.6103022862500005  Cmcm
mp-1056957_C,  -6.54095324  2.68452034125  Cmcm
mp-1008374_C,  -8.7882114825  0.43726209875000066  Cmmm
mp-1008395_C,  -8.8936853325  0.3317882487499997  I4/mmm
mp-1018088_C,  -7.926094595  1.2993789862499998  I4_132
mp-998866_C,  -6.46982684  2.7556467412500005  Pm-3m
mp-169_C,  -9.22106018  0.004413401249999893  R-3m
mp-1181996_C,  -6.600532255  2.62494132625  I4/mmm
mp-24_C,  -8.39296019625  0.8325133850000004  Ia-3
mp-1078845_C,  -8.96077543  0.2646981512500002  Cmmm
mp-1080826_C,  -8.927954385  0.29751919625000056  C2/m
mp-1095534_C,  -8.104050355  1.1214232262499995  I4/mmm
mp-1095633_C,  -8.2278556425  0.9976179387500004  I4/mmm
